District,Village
Anugul  ,Charadapita
Anugul  ,Charakhaman
Anugul  ,Chasagurujanga
Anugul  ,Chatiagaji
Anugul  ,Chatiamal
Anugul  ,Chauridiha
Anugul  ,Chautarapali
Anugul  ,Chendipada R.F
Anugul  ,Cherakhanda Maharapada
Anugul  ,Chhanchunia
Anugul  ,Chhelia
Anugul  ,Chheliabeda
Anugul  ,Chheliabedacolony
Anugul  ,Chheliamunda
Anugul  ,Chheliapada
Anugul  ,Chhelikhai
Anugul  ,Chhendipada 
Anugul  ,Chhendipada 
Anugul  ,Chhendipadajungle
Anugul  ,Chhepra
Anugul  ,Chhotabereni
Anugul  ,Chhotagolagadia
Anugul  ,Chhotatentuli
Anugul  ,Chhotkei(Chhotakoi)
Anugul  ,Chilakhandi
Anugul  ,Chingudimunda
Anugul  ,Chintamanipur
Anugul  ,Chintamanipur
Anugul  ,Chintamanipur
Anugul  ,Chintamanipur
Anugul  ,Chitalpur
Anugul  ,Chudakhai
Anugul  ,Chuliapur
Anugul  ,Colliery 
Anugul  ,Dabaradhua
Anugul  ,Dablin
Anugul  ,Dadarapali
Anugul  ,Dadari
Anugul  ,Dahibar
Anugul  ,Dahimal
Anugul  ,Dahimal
Anugul  ,Dakuamunda
Anugul  ,Dalabeherasahi
Anugul  ,Dalak
Anugul  ,Dalaki
Anugul  ,Dalaki
Anugul  ,Dalapaka
Anugul  ,Dalasinga
Anugul  ,Dalimura
Anugul  ,Dalo
Anugul  ,Damabahal
Anugul  ,Damajodi
Anugul  ,Damdar
Anugul  ,Damodarapur
Anugul  ,Damodarpur
Anugul  ,Damol
Anugul  ,Danara (CT)  
Anugul  ,Danarabeda(Dangarbeda)
Anugul  ,Dandasinga
Anugul  ,Dandasinga
Anugul  ,Daneinali
Anugul  ,Dangadarh
Anugul  ,Dangamanga
Anugul  ,Dangapal
Anugul  ,Dangapal
Anugul  ,Dangapal
Anugul  ,Dangarpal
Anugul  ,Dantuanipal
Anugul  ,Dareikala
Anugul  ,Daruha
Anugul  ,Dasamania
Anugul  ,Dasanali
Anugul  ,Dasarasahi
Anugul  ,Dasarathipur
Anugul  ,Dasarathipur
Anugul  ,Daulatpur
